Title;;Duration (minutes)
The Terminator;;107
Terminator 2: Judgment Day;;137
Tess of the Storm Country;;80
The Texas Chain Saw Massacre;;
The Dark Knight;;152
Titanic;;195
The Quiet Man;;129
The Crowd;;98
Only Angels Have Wings;;
Tom, Tom, the Piper’s Son;;115
Sink or Swim;;48
The Thin Blue Line;;103
The Thin Man;;93
Topaz;;17
Traffic in Souls;;88
He Who Gets Slapped;;80
Grass: A Nation’s Battle for Life;;71
Verbena Tragica;;75
A Streetcar Named Desire;;125
Trance and Dance in Bali;;18
Three Little Pigs;;8
Michael Jackson’s Thriller;;14
Paths of Glory;;88
Ace in the Hole;;111
The Fog of War;;106
Tootsie;;116
Tulips Shall Grow;;7
Jailhouse Rock;;96
The Murder of Fred Hampton;;88
The Killers;;103
To Kill a Mockingbird;;129
On the Town;;98
Guess Who’s Coming to Dinner;;108
The Awful Truth;;90
Will;;
Up in Smoke;;86
Gone with the Wind;;221
The Wobblies;;
Wattstax;;103
Freaks;;64
Make Way for Tomorrow;;91
Duck Soup;;68
A Bronx Morning;;13
Fake Fruit Factory;;22
Fantasia;;126
Fargo;;98
Felicia;;13
Ferris Bueller’s Day Off;;103
The Philadelphia Story;;112
A Movie;;12
Zapruder Film;;
Frank Film;;9
Reverend Solomon Sir Jones Films;;
Flash Gordon;;
Forrest Gump;;142
Frankenstein;;70
The French Connection;;104
Fred Ott’s Sneeze;;1
Fuji;;8
Hud;;
Slacker;;97
Hester Street;;90
Uncle Tom’s Cabin;;137
Cabin in the Sky;;98
In Cold Blood;;134
Cool Hand Luke;;126
Bread;;80
Our Daily Bread;;80
Medium Cool;;110
Hot Dogs for Gauguin;;6
Republic Steel Strike Riot Newsreel Footage;;
Hindenburg Disaster Newsreel Footage;;4
The Dragon Painter;;53
Halloween;;91
Flowers and Trees;;8
Kiss Me Deadly;;106
Commandment Keeper Church, Beaufort South Carolina, May 1940;;
Civilization;;88
Top Hat;;101
Hours for Jerome;;45
The Man Who Shot Liberty Valance;;123
The Man with the Golden Arm;;119
The Invisible Man;;71
Jaws;;124
Garlic Is as Good as Ten Mothers;;51
The Four Horsemen of the Apocalypse;;133
Czechoslovakia 1968;;14
The Chechahcos;;86
Black and Tan;;15
The Black Pirate;;84
The Black Stallion;;118
Chicana;;22
The Nutty Professor;;107
What’s Opera, Doc?;;7
